500 1 1
70 2457 3249 14 
34 257 3050 20 
87 1423 2398 63 
78 3710 4141 87 
5 2454 6508 36 
77 4337 5255 16 
83 498 874 37 
81 403 4733 84 
57 3515 6174 27 
96 922 3923 7 
86 2257 7165 95 
38 2381 4830 74 
100 3952 6830 45 
81 3280 4416 100 
57 4144 6366 38 
98 1279 5850 35 
63 767 4494 50 
68 4382 5872 99 
18 2158 3085 1 
29 2494 3586 43 
69 945 4703 67 
5 1465 4184 15 
55 232 2077 8 
84 113 343 68 
99 1442 3681 55 
47 3873 4011 56 
96 4164 5398 61 
16 108 1990 94 
12 1096 5757 18 
82 1486 2474 54 
89 676 4528 20 
48 2270 6293 59 
61 3099 7334 19 
62 1962 2845 47 
35 2376 4388 56 
96 3935 8159 87 
63 1767 4040 64 
33 3039 7666 77 
28 3203 3682 16 
76 2116 2716 45 
60 2845 7412 23 
13 2572 2719 69 
7 2236 4342 91 
20 536 2687 96 
4 2212 2311 98 
5 3368 8244 6 
16 3931 6423 98 
79 2316 2658 61 
83 4723 5361 47 
45 1457 6014 55 
15 4693 7299 9 
14 2564 7515 2 
79 4711 8768 62 
6 1165 5376 35 
89 416 1834 86 
59 2441 5900 78 
26 3255 7186 21 
87 1132 4531 92 
47 2556 6232 18 
70 3728 7950 27 
6 1642 3702 57 
41 3781 7156 51 
82 3939 8973 9 
11 942 5950 44 
2 1700 3205 98 
97 1057 3134 49 
5 2229 6246 7 
71 2959 5954 64 
63 1794 2642 25 
71 606 4196 85 
40 2936 4412 21 
66 4366 5685 7 
71 1793 5682 42 
96 1797 4336 23 
67 2158 5614 86 
97 256 1486 53 
30 1445 2475 33 
91 3437 4158 77 
59 4878 5719 6 
76 4875 9528 91 
60 3104 5229 41 
38 2024 3501 22 
61 4607 6725 6 
52 2998 4227 98 
92 4466 6991 2 
97 612 5174 70 
37 1052 5411 58 
99 4869 7929 7 
49 641 2068 61 
43 4385 4538 13 
64 1085 4436 21 
58 4048 7399 77 
51 3218 6926 76 
80 2463 5754 53 
1 97 2504 16 
21 4107 4254 76 
57 4100 7219 90 
14 3897 8562 36 
21 1322 4321 56 
40 105 2902 53 
12 4240 5356 5 
62 675 1625 16 
93 3824 8134 24 
31 4131 5270 57 
54 261 3261 58 
12 1175 3448 79 
54 1200 2403 24 
73 3980 6265 85 
64 4565 5107 57 
28 3652 5427 81 
66 2348 5723 87 
77 1920 5555 8 
32 2512 5820 35 
85 42 4226 70 
9 1831 1969 77 
51 4985 6659 47 
13 4606 7611 29 
36 3158 3786 14 
86 27 4517 8 
45 2209 2945 34 
57 1005 5902 88 
55 923 3323 26 
12 1228 2408 15 
32 2826 3494 24 
6 2308 3901 11 
30 1083 5832 48 
10 2911 7691 80 
20 4236 9192 57 
62 806 2722 82 
95 3824 6193 98 
83 3869 6968 80 
96 2515 7484 4 
56 3466 5705 52 
37 4292 6003 71 
15 4967 6472 67 
42 2797 3237 73 
45 1682 1972 35 
33 1060 3938 98 
71 2339 6156 93 
24 3601 5295 80 
5 1703 1710 14 
61 1519 1915 64 
50 3153 5290 8 
41 4635 7977 21 
48 4442 9062 36 
43 829 1323 5 
72 1940 2504 50 
32 1027 5321 18 
15 4660 6289 78 
50 714 3130 29 
66 3115 4598 21 
51 4518 9390 84 
5 3914 4144 59 
61 3150 3756 9 
76 4003 5562 48 
43 1155 3388 24 
89 3266 4660 36 
7 82 1795 95 
42 3219 7871 32 
98 3902 7039 92 
27 690 3516 4 
31 4406 8303 53 
67 3599 5662 21 
92 1287 4887 10 
94 184 498 66 
48 4330 7325 54 
69 2168 6523 11 
84 3377 4667 20 
24 1041 2010 38 
39 751 2355 99 
70 4433 9186 26 
13 4100 4936 5 
10 3811 6151 58 
41 766 5759 54 
77 1297 5830 92 
52 2999 5566 12 
78 1246 5133 80 
52 971 3496 36 
80 3854 5043 98 
74 4250 7773 23 
98 1501 4081 8 
98 4332 7503 82 
84 2048 6212 57 
23 4451 5326 52 
26 4277 6904 90 
48 3710 5291 37 
36 3323 5068 70 
69 830 4863 85 
52 711 1836 100 
96 2600 3870 77 
6 3173 3614 38 
1 1828 2221 39 
88 3179 7809 62 
15 4693 7973 75 
95 2053 6915 15 
65 4813 8780 37 
11 3430 4796 40 
55 1569 4967 25 
100 2427 5694 5 
17 4094 7169 27 
48 3547 8160 88 
76 4059 5441 94 
28 2951 3657 5 
62 923 4805 24 
45 710 4088 78 
96 3901 4914 22 
8 4639 7294 14 
29 1586 4398 70 
93 2417 5064 3 
98 392 918 17 
10 110 3691 40 
15 1912 5163 14 
92 4604 4825 87 
55 2325 2533 46 
77 4005 6594 67 
23 870 3849 16 
