50 1 1
4 26 414 39 
13 29 390 98 
42 9 155 54 
70 47 463 76 
77 24 357 62 
62 7 466 50 
43 32 507 20 
6 39 253 46 
49 39 113 77 
94 46 522 59 
3 24 437 50 
19 7 63 17 
82 44 569 67 
37 1 307 55 
27 23 494 88 
9 29 47 39 
46 9 421 84 
17 49 476 56 
73 32 461 80 
4 1 15 89 
77 7 401 65 
54 21 469 23 
97 15 446 30 
77 7 405 89 
24 9 201 14 
48 29 400 38 
4 27 334 64 
54 17 433 56 
59 29 172 82 
6 4 452 17 
37 9 369 80 
19 7 246 1 
63 7 230 75 
94 45 328 45 
11 6 183 94 
2 42 207 1 
70 38 342 36 
63 37 578 73 
67 27 492 100 
10 4 127 31 
41 48 107 75 
39 19 88 2 
69 21 291 69 
76 47 455 22 
65 6 404 93 
78 21 472 77 
78 18 304 86 
38 41 285 39 
54 13 345 85 
10 15 29 73 
